,input_text,target_text
0,Hi,Hello!
1,Hi,Good to see you again!
2,Hi,"Hi there, how can I help?"
3,How are you?,Hello!
4,How are you?,Good to see you again!
5,How are you?,"Hi there, how can I help?"
6,Is anyone there?,Hello!
7,Is anyone there?,Good to see you again!
8,Is anyone there?,"Hi there, how can I help?"
9,Hello,Hello!
10,Hello,Good to see you again!
11,Hello,"Hi there, how can I help?"
12,Good day,Hello!
13,Good day,Good to see you again!
14,Good day,"Hi there, how can I help?"
15,What's up,Hello!
16,What's up,Good to see you again!
17,What's up,"Hi there, how can I help?"
18,how are ya,Hello!
19,how are ya,Good to see you again!
20,how are ya,"Hi there, how can I help?"
21,heyy,Hello!
22,heyy,Good to see you again!
23,heyy,"Hi there, how can I help?"
24,whatsup,Hello!
25,whatsup,Good to see you again!
26,whatsup,"Hi there, how can I help?"
27,??? ??? ??,Hello!
28,??? ??? ??,Good to see you again!
29,??? ??? ??,"Hi there, how can I help?"
30,cya,Sad to see you go :(
31,cya,Talk to you later
32,cya,Goodbye!
33,cya,Come back soon
34,see you,Sad to see you go :(
35,see you,Talk to you later
36,see you,Goodbye!
37,see you,Come back soon
38,bye bye,Sad to see you go :(
39,bye bye,Talk to you later
40,bye bye,Goodbye!
41,bye bye,Come back soon
42,See you later,Sad to see you go :(
43,See you later,Talk to you later
44,See you later,Goodbye!
45,See you later,Come back soon
46,Goodbye,Sad to see you go :(
47,Goodbye,Talk to you later
48,Goodbye,Goodbye!
49,Goodbye,Come back soon
50,I am Leaving,Sad to see you go :(
51,I am Leaving,Talk to you later
52,I am Leaving,Goodbye!
53,I am Leaving,Come back soon
54,Bye,Sad to see you go :(
55,Bye,Talk to you later
56,Bye,Goodbye!
57,Bye,Come back soon
58,Have a Good day,Sad to see you go :(
59,Have a Good day,Talk to you later
60,Have a Good day,Goodbye!
61,Have a Good day,Come back soon
62,talk to you later,Sad to see you go :(
63,talk to you later,Talk to you later
64,talk to you later,Goodbye!
65,talk to you later,Come back soon
66,ttyl,Sad to see you go :(
67,ttyl,Talk to you later
68,ttyl,Goodbye!
69,ttyl,Come back soon
70,i got to go,Sad to see you go :(
71,i got to go,Talk to you later
72,i got to go,Goodbye!
73,i got to go,Come back soon
74,gtg,Sad to see you go :(
75,gtg,Talk to you later
76,gtg,Goodbye!
77,gtg,Come back soon
78,what is the name of your developers,College students
79,what is the name of your creators,College students
80,what is the name of the developers,College students
81,what is the name of the creators,College students
82,who created you,College students
83,your developers,College students
84,your creators,College students
85,who are your developers,College students
86,developers,College students
87,you are made by,College students
88,you are made by whom,College students
89,who created you,College students
90,who create you,College students
91,creators,College students
92,who made you,College students
93,who designed you,College students
94,name,You can call me Mind Reader.
95,name,I'm Mind Reader
96,name,I am a Chatbot.
97,name,I am your helper
98,your name,You can call me Mind Reader.
99,your name,I'm Mind Reader
100,your name,I am a Chatbot.
101,your name,I am your helper
102,do you have a name,You can call me Mind Reader.
103,do you have a name,I'm Mind Reader
104,do you have a name,I am a Chatbot.
105,do you have a name,I am your helper
106,what are you called,You can call me Mind Reader.
107,what are you called,I'm Mind Reader
108,what are you called,I am a Chatbot.
109,what are you called,I am your helper
110,what is your name,You can call me Mind Reader.
111,what is your name,I'm Mind Reader
112,what is your name,I am a Chatbot.
113,what is your name,I am your helper
114,what should I call you,You can call me Mind Reader.
115,what should I call you,I'm Mind Reader
116,what should I call you,I am a Chatbot.
117,what should I call you,I am your helper
118,whats your name?,You can call me Mind Reader.
119,whats your name?,I'm Mind Reader
120,whats your name?,I am a Chatbot.
121,whats your name?,I am your helper
122,what are you,You can call me Mind Reader.
123,what are you,I'm Mind Reader
124,what are you,I am a Chatbot.
125,what are you,I am your helper
126,who are you,You can call me Mind Reader.
127,who are you,I'm Mind Reader
128,who are you,I am a Chatbot.
129,who are you,I am your helper
130,who is this,You can call me Mind Reader.
131,who is this,I'm Mind Reader
132,who is this,I am a Chatbot.
133,who is this,I am your helper
134,what am i chatting to,You can call me Mind Reader.
135,what am i chatting to,I'm Mind Reader
136,what am i chatting to,I am a Chatbot.
137,what am i chatting to,I am your helper
138,who am i taking to,You can call me Mind Reader.
139,who am i taking to,I'm Mind Reader
140,who am i taking to,I am a Chatbot.
141,who am i taking to,I am your helper
142,what are you,You can call me Mind Reader.
143,what are you,I'm Mind Reader
144,what are you,I am a Chatbot.
145,what are you,I am your helper
146,timing of college,College is open 8am-5pm Monday-Saturday!
147,what is college timing,College is open 8am-5pm Monday-Saturday!
148,working days,College is open 8am-5pm Monday-Saturday!
149,when are you guys open,College is open 8am-5pm Monday-Saturday!
150,what are your hours,College is open 8am-5pm Monday-Saturday!
151,hours of operation,College is open 8am-5pm Monday-Saturday!
152,when is the college open,College is open 8am-5pm Monday-Saturday!
153,college timing,College is open 8am-5pm Monday-Saturday!
154,what about college timing,College is open 8am-5pm Monday-Saturday!
155,is college open on saturday,College is open 8am-5pm Monday-Saturday!
156,tell something about college timing,College is open 8am-5pm Monday-Saturday!
157,what is the college  hours,College is open 8am-5pm Monday-Saturday!
158,when should i come to college,College is open 8am-5pm Monday-Saturday!
159,when should i attend college,College is open 8am-5pm Monday-Saturday!
160,what is my college time,College is open 8am-5pm Monday-Saturday!
161,college timing,College is open 8am-5pm Monday-Saturday!
162,timing college,College is open 8am-5pm Monday-Saturday!
163,more info,You can contact at: NUMBER
164,contact info,You can contact at: NUMBER
165,how to contact college,You can contact at: NUMBER
166,college telephone number,You can contact at: NUMBER
167,college number,You can contact at: NUMBER
168,What is your contact no,You can contact at: NUMBER
169,Contact number?,You can contact at: NUMBER
170,how to call you,You can contact at: NUMBER
171,College phone no?,You can contact at: NUMBER
172,how can i contact you,You can contact at: NUMBER
173,Can i get your phone number,You can contact at: NUMBER
174,how can i call you,You can contact at: NUMBER
175,phone number,You can contact at: NUMBER
176,phone no,You can contact at: NUMBER
177,call,You can contact at: NUMBER
178,list of courses,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
179,list of courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
180,list of courses offered in,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
181,what are the courses offered in your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering."
